time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,label
1154541,0.99,-0.02,0.07,1.57,-1.96,-0.09,48.46,-7.85,-5.44,3
1154553,0.98,-0.02,0.08,1.57,-2.18,-0.03,48.46,-7.85,-5.44,3
1154565,0.98,-0.02,0.08,1.58,-1.25,-0.04,48.46,-7.85,-5.44,3
1154579,0.99,-0.02,0.07,1.64,0.22,-0.02,48.46,-7.85,-5.44,3
1154590,0.99,-0.02,0.07,1.63,-0.05,-0.0,48.5,-7.97,-5.66,3
1154603,0.99,-0.02,0.07,1.65,-1.25,-0.01,48.5,-7.97,-5.66,3
1154614,0.99,-0.02,0.08,1.59,-1.3,-0.0,48.5,-7.97,-5.66,3
1154626,0.98,-0.02,0.08,1.57,-0.95,0.02,48.5,-7.97,-5.66,3
1154638,0.98,-0.02,0.07,1.61,-0.42,0.04,48.49,-8.01,-5.7,3
1154649,0.98,-0.02,0.07,1.62,-0.56,0.01,48.49,-8.01,-5.7,3
1154661,0.99,-0.02,0.07,1.59,-0.92,-0.02,48.49,-8.01,-5.7,3
1154673,0.98,-0.02,0.08,1.55,-1.14,-0.05,48.49,-8.01,-5.7,3
1154686,0.98,-0.02,0.08,1.53,-0.67,-0.03,48.38,-7.89,-5.7,3
1154697,0.98,-0.02,0.08,1.58,0.25,-0.05,48.38,-7.89,-5.7,3
1154708,0.99,-0.02,0.07,1.58,0.06,-0.06,48.38,-7.89,-5.7,3
1154720,0.99,-0.02,0.07,1.55,-0.51,-0.04,48.38,-7.89,-5.7,3
1154734,0.99,-0.02,0.07,1.55,-1.5,-0.04,48.38,-7.89,-5.7,3
1154745,0.98,-0.02,0.08,1.56,-1.4,-0.05,48.32,-7.74,-5.77,3
1154759,0.99,-0.02,0.07,1.52,-0.33,-0.11,48.32,-7.74,-5.77,3
1154769,0.99,-0.02,0.07,1.56,-0.11,-0.1,48.32,-7.74,-5.77,3
1154780,0.99,-0.02,0.07,1.57,-0.23,-0.07,48.32,-7.74,-5.77,3
1154794,0.99,-0.02,0.07,1.56,-0.94,-0.01,48.39,-7.62,-5.73,3
1154806,0.98,-0.02,0.07,1.54,-1.04,-0.02,48.39,-7.62,-5.73,3
1154816,0.98,-0.02,0.07,1.51,-0.85,-0.03,48.39,-7.62,-5.73,3
1154828,0.99,-0.02,0.07,1.57,-0.29,-0.02,48.39,-7.62,-5.73,3
1154839,0.99,-0.02,0.07,1.56,-0.19,-0.02,48.49,-7.61,-5.93,3
1154853,0.99,-0.02,0.07,1.54,-0.13,0.0,48.49,-7.61,-5.93,3
1154864,0.99,-0.02,0.07,1.57,-0.26,0.01,48.49,-7.61,-5.93,3
1154875,0.99,-0.02,0.07,1.57,-0.57,-0.0,48.49,-7.61,-5.93,3
1154887,0.99,-0.02,0.07,1.66,-1.36,-0.01,48.55,-7.6,-6.13,3
1154899,0.99,-0.02,0.07,1.66,-1.65,0.0,48.55,-7.6,-6.13,3
1154912,0.99,-0.02,0.07,1.61,-1.31,0.01,48.55,-7.6,-6.13,3
