time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,label
332640,-0.05,-0.0,-1.02,-2.6,-0.02,-0.16,4.45,31.78,38.74,1
332654,-0.05,-0.0,-1.02,-2.61,-0.47,-0.7,4.45,31.78,38.74,1
332665,-0.05,-0.0,-1.01,-3.0,-0.34,-0.95,4.4,31.87,38.75,1
332677,-0.05,-0.0,-1.01,-3.63,0.27,-1.2,4.4,31.87,38.75,1
332689,-0.06,-0.01,-1.01,-4.99,1.05,-2.0,4.4,31.87,38.75,1
332699,-0.06,-0.01,-1.01,-5.14,0.75,-2.58,4.4,31.87,38.75,1
332709,-0.06,-0.01,-1.0,-5.0,0.28,-3.15,4.4,31.87,38.75,1
332720,-0.06,-0.02,-1.0,-4.88,-0.19,-3.67,4.31,31.92,38.7,1
332732,-0.05,-0.03,-0.99,-4.95,-0.77,-4.42,4.31,31.92,38.7,1
332744,-0.05,-0.03,-0.99,-5.03,-0.82,-4.51,4.31,31.92,38.7,1
332754,-0.04,-0.03,-0.99,-5.12,-0.69,-4.51,4.31,31.92,38.7,1
332767,-0.04,-0.04,-1.0,-4.93,-0.42,-4.09,4.06,31.97,38.53,1
332778,-0.04,-0.04,-1.0,-4.58,-0.4,-3.7,4.06,31.97,38.53,1
332792,-0.04,-0.04,-1.02,-3.5,-0.95,-2.86,4.06,31.97,38.53,1
332804,-0.04,-0.04,-1.03,-2.65,-1.44,-2.29,4.06,31.97,38.53,1
332816,-0.04,-0.04,-1.03,-1.31,-2.26,-1.76,3.96,32.1,38.28,1
332827,-0.04,-0.03,-1.03,-1.44,-2.52,-1.83,3.96,32.1,38.28,1
332839,-0.04,-0.03,-1.03,-1.51,-2.37,-1.83,3.96,32.1,38.28,1
332852,-0.05,-0.03,-1.03,-1.05,-1.48,-1.84,3.96,32.1,38.28,1
332863,-0.05,-0.03,-1.03,-0.44,-1.65,-1.95,3.9,32.28,38.34,1
332877,-0.05,-0.03,-1.03,0.51,-2.64,-2.03,3.9,32.28,38.34,1
332889,-0.05,-0.03,-1.03,0.8,-3.19,-1.94,3.9,32.28,38.34,1
332901,-0.05,-0.03,-1.02,0.57,-4.25,-1.95,3.9,32.28,38.34,1
332913,-0.05,-0.03,-1.01,0.15,-4.58,-1.97,3.91,32.35,38.22,1
332925,-0.05,-0.03,-1.02,0.17,-4.62,-1.86,3.91,32.35,38.22,1
332936,-0.05,-0.03,-1.02,2.4,-4.54,-1.69,3.91,32.35,38.22,1
332947,-0.05,-0.03,-1.01,4.05,-4.62,-1.56,3.91,32.35,38.22,1
332959,-0.04,-0.03,-1.01,5.4,-4.72,-1.35,3.91,32.35,38.22,1
332972,-0.04,-0.04,-1.0,5.88,-4.7,-1.19,3.82,32.43,38.3,1
332982,-0.03,-0.04,-0.99,5.19,-4.5,-0.94,3.82,32.43,38.3,1
332992,-0.03,-0.04,-0.99,4.14,-4.38,-0.57,3.82,32.43,38.3,1
333003,-0.03,-0.03,-0.99,3.18,-4.32,-0.04,3.82,32.43,38.3,1
333016,-0.04,-0.04,-1.0,3.38,-2.27,0.89,3.81,32.53,38.45,1
333028,-0.04,-0.03,-1.01,3.24,-1.57,1.14,3.81,32.53,38.45,1
333039,-0.04,-0.03,-1.0,2.33,-0.48,1.12,3.81,32.53,38.45,1
333050,-0.04,-0.03,-1.01,1.65,-0.05,1.05,3.81,32.53,38.45,1
333061,-0.04,-0.03,-1.01,0.91,0.04,1.1,3.83,32.6,38.43,1
333071,-0.04,-0.03,-1.02,0.63,0.11,1.19,3.83,32.6,38.43,1
333084,-0.04,-0.03,-1.02,1.69,0.11,1.06,3.83,32.6,38.43,1
333096,-0.04,-0.03,-1.02,2.47,-0.08,0.91,3.83,32.6,38.43,1
333110,-0.05,-0.03,-1.01,2.71,-0.45,0.81,3.8,32.64,38.31,1
333122,-0.05,-0.02,-1.01,2.05,-0.69,0.78,3.8,32.64,38.31,1
333135,-0.05,-0.03,-1.01,0.64,-0.87,0.74,3.8,32.64,38.31,1
333147,-0.05,-0.03,-1.02,0.36,-0.89,0.83,3.8,32.64,38.31,1
333157,-0.05,-0.03,-1.02,0.59,-0.91,0.95,3.8,32.64,38.31,1
333170,-0.04,-0.03,-1.01,1.38,-1.11,1.27,3.97,32.67,38.39,1
333180,-0.04,-0.03,-1.01,1.52,-1.29,1.34,3.97,32.67,38.39,1
333190,-0.04,-0.03,-1.01,1.55,-1.51,1.49,3.97,32.67,38.39,1
333200,-0.04,-0.03,-1.01,1.51,-1.71,1.6,3.97,32.67,38.39,1
333212,-0.04,-0.03,-1.01,1.29,-1.9,1.41,3.97,32.64,38.28,1
333222,-0.04,-0.03,-1.01,1.23,-1.91,1.17,3.97,32.64,38.28,1
333232,-0.04,-0.03,-1.01,1.18,-1.77,0.94,3.97,32.64,38.28,1
333242,-0.04,-0.03,-1.01,1.21,-1.6,0.74,3.97,32.64,38.28,1
333252,-0.04,-0.03,-1.01,1.2,-1.45,0.57,3.97,32.64,38.28,1
333265,-0.04,-0.03,-1.01,0.66,-1.47,0.41,3.98,32.67,38.3,1
333276,-0.04,-0.03,-1.01,0.35,-1.48,0.44,3.98,32.67,38.3,1
333290,-0.04,-0.03,-1.01,0.25,-1.1,0.61,3.98,32.67,38.3,1
333300,-0.04,-0.03,-1.01,0.64,-0.86,0.64,3.98,32.67,38.3,1
333311,-0.04,-0.03,-1.01,0.89,-0.67,0.59,4.07,32.72,38.32,1
333321,-0.04,-0.03,-1.01,0.71,-0.58,0.57,4.07,32.72,38.32,1
333333,-0.04,-0.03,-1.01,-0.26,-0.19,0.76,4.07,32.72,38.32,1
333343,-0.04,-0.03,-1.02,0.0,0.11,0.83,4.07,32.72,38.32,1
333354,-0.04,-0.03,-1.02,0.55,0.18,0.81,4.07,32.72,38.32,1
333367,-0.05,-0.03,-1.02,2.14,-0.39,0.56,4.2,32.71,38.35,1
333378,-0.05,-0.03,-1.02,3.15,-0.84,0.37,4.2,32.71,38.35,1
333391,-0.04,-0.03,-1.02,3.68,-1.61,0.02,4.2,32.71,38.35,1
333402,-0.04,-0.03,-1.01,3.03,-1.87,-0.05,4.2,32.71,38.35,1
333413,-0.04,-0.03,-1.01,2.04,-2.06,-0.01,4.12,32.68,38.35,1
333426,-0.04,-0.03,-1.01,0.83,-1.95,0.24,4.12,32.68,38.35,1
333436,-0.04,-0.04,-1.01,1.25,-1.7,0.45,4.12,32.68,38.35,1
333448,-0.04,-0.04,-1.01,2.3,-1.36,0.68,4.12,32.68,38.35,1
333462,-0.04,-0.03,-1.01,4.29,-0.68,1.18,4.11,32.64,38.34,1
333474,-0.04,-0.03,-1.01,4.54,-0.45,1.32,4.11,32.64,38.34,1
333488,-0.05,-0.03,-1.01,4.19,-0.42,1.36,4.11,32.64,38.34,1
333498,-0.05,-0.03,-1.01,3.94,-0.52,1.31,4.11,32.64,38.34,1
333508,-0.05,-0.03,-1.02,3.7,-0.55,1.22,4.11,32.64,38.34,1
333519,-0.05,-0.03,-1.02,3.65,-0.55,1.06,4.14,32.72,38.14,1
333531,-0.04,-0.03,-1.02,3.55,-0.78,0.72,4.14,32.72,38.14,1
333542,-0.04,-0.03,-1.01,3.13,-0.95,0.55,4.14,32.72,38.14,1
333556,-0.04,-0.03,-1.01,1.95,-1.24,0.39,4.14,32.72,38.14,1
333566,-0.04,-0.03,-1.01,1.58,-1.16,0.46,4.14,32.71,38.08,1
333578,-0.04,-0.03,-1.01,1.46,-1.05,0.54,4.14,32.71,38.08,1
333590,-0.04,-0.03,-1.01,2.16,-1.13,0.68,4.14,32.71,38.08,1
333602,-0.04,-0.03,-1.01,2.76,-1.2,0.77,4.14,32.71,38.08,1
333612,-0.04,-0.03,-1.01,3.02,-1.29,0.86,4.0,32.76,38.13,1
