time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,label
90240,0.05,0.01,0.97,1.86,-1.07,-0.32,25.02,29.61,-30.2,0
90251,0.05,0.01,0.97,1.71,-0.96,-0.42,25.02,29.61,-30.2,0
90261,0.05,0.01,0.97,1.75,-0.89,-0.42,25.02,29.61,-30.2,0
90271,0.05,0.01,0.97,1.7,-0.86,-0.34,25.02,29.61,-30.2,0
90283,0.05,0.02,0.97,1.08,-0.91,-0.22,25.13,29.7,-30.2,0
90294,0.05,0.02,0.97,0.88,-1.02,-0.21,25.13,29.7,-30.2,0
90304,0.05,0.02,0.98,0.85,-1.02,-0.23,25.13,29.7,-30.2,0
90314,0.05,0.02,0.98,0.9,-0.86,-0.21,25.13,29.7,-30.2,0
90325,0.05,0.02,0.98,1.22,-0.38,-0.27,25.13,29.7,-30.2,0
90337,0.05,0.02,0.99,1.38,-0.24,-0.25,25.05,29.79,-30.29,0
90347,0.05,0.02,0.99,1.53,-0.27,-0.18,25.05,29.79,-30.29,0
90357,0.05,0.02,0.99,1.53,-0.44,-0.02,25.05,29.79,-30.29,0
90369,0.05,0.02,0.98,1.5,-0.97,0.29,25.05,29.79,-30.29,0
90380,0.05,0.02,0.98,1.74,-1.07,0.34,25.07,29.83,-30.27,0
90391,0.05,0.01,0.98,1.93,-1.04,0.38,25.07,29.83,-30.27,0
90402,0.05,0.01,0.97,1.88,-0.9,0.13,25.07,29.83,-30.27,0
90413,0.05,0.01,0.97,1.76,-0.76,0.01,25.07,29.83,-30.27,0
90424,0.05,0.01,0.97,1.68,-0.64,-0.05,25.07,29.83,-30.27,0
90436,0.05,0.01,0.97,1.0,-0.78,0.2,25.27,29.9,-30.39,0
90447,0.05,0.02,0.97,0.76,-0.66,0.32,25.27,29.9,-30.39,0
90459,0.05,0.02,0.98,0.89,-0.42,0.38,25.27,29.9,-30.39,0
90469,0.05,0.02,0.98,1.19,-0.28,0.39,25.27,29.9,-30.39,0
90481,0.05,0.01,0.98,1.62,-0.54,0.31,25.25,29.97,-30.41,0
90492,0.05,0.01,0.98,1.66,-0.61,0.25,25.25,29.97,-30.41,0
90502,0.05,0.01,0.98,1.65,-0.53,0.22,25.25,29.97,-30.41,0
90515,0.05,0.01,0.98,1.9,-0.31,0.16,25.25,29.97,-30.41,0
90526,0.05,0.01,0.98,1.99,-0.09,0.05,25.24,30.0,-30.46,0
90537,0.05,0.02,0.98,1.99,-0.02,-0.02,25.24,30.0,-30.46,0
90550,0.05,0.02,0.98,1.77,-0.6,0.09,25.24,30.0,-30.46,0
90561,0.05,0.02,0.98,1.5,-0.98,0.24,25.24,30.0,-30.46,0
90574,0.05,0.02,0.97,1.94,-1.14,0.15,25.24,30.0,-30.46,0
90586,0.05,0.02,0.97,2.69,-0.87,-0.0,25.24,29.89,-30.39,0
90596,0.05,0.02,0.97,3.18,-0.43,-0.15,25.24,29.89,-30.39,0
90606,0.05,0.02,0.98,3.29,-0.08,-0.21,25.24,29.89,-30.39,0
90618,0.05,0.01,0.98,2.66,-0.37,-0.05,25.24,29.89,-30.39,0
90629,0.05,0.01,0.98,2.0,-0.64,0.15,25.23,29.97,-30.29,0
90639,0.05,0.01,0.98,1.37,-0.73,0.32,25.23,29.97,-30.29,0
90649,0.05,0.01,0.98,0.95,-0.73,0.3,25.23,29.97,-30.29,0
90659,0.05,0.01,0.98,1.02,-0.78,0.07,25.23,29.97,-30.29,0
90670,0.05,0.01,0.98,1.43,-0.81,-0.07,25.23,29.97,-30.29,0
90681,0.05,0.01,0.98,1.89,-0.87,-0.13,25.3,30.05,-30.33,0
90695,0.05,0.01,0.98,2.25,-0.86,-0.11,25.3,30.05,-30.33,0
90706,0.05,0.01,0.98,2.28,-0.7,-0.05,25.3,30.05,-30.33,0
90717,0.05,0.01,0.98,2.26,-0.54,0.03,25.3,30.05,-30.33,0
90729,0.06,0.01,0.98,1.88,-0.37,0.1,25.3,29.95,-30.28,0
90740,0.06,0.01,0.98,1.53,-0.5,0.16,25.3,29.95,-30.28,0
90750,0.06,0.01,0.98,1.18,-0.66,0.19,25.3,29.95,-30.28,0
90761,0.06,0.01,0.98,0.99,-0.7,0.23,25.3,29.95,-30.28,0
90773,0.05,0.01,0.98,1.19,-0.23,-0.06,25.3,29.95,-30.28,0
90784,0.06,0.01,0.99,1.41,-0.02,-0.33,25.4,29.9,-30.03,0
90795,0.06,0.01,0.99,1.49,-0.23,-0.4,25.4,29.9,-30.03,0
90807,0.06,0.01,0.98,1.39,-1.13,-0.07,25.4,29.9,-30.03,0
90819,0.05,0.01,0.98,1.23,-1.38,0.2,25.4,29.9,-30.03,0
90831,0.05,0.01,0.97,0.97,-1.48,0.39,25.42,29.89,-29.82,0
90842,0.05,0.01,0.97,1.25,-1.25,0.22,25.42,29.89,-29.82,0
90852,0.05,0.01,0.97,1.77,-0.87,-0.06,25.42,29.89,-29.82,0
90862,0.05,0.01,0.97,2.21,-0.58,-0.25,25.42,29.89,-29.82,0
90872,0.06,0.01,0.98,2.26,-0.49,-0.3,25.42,29.89,-29.82,0
90885,0.06,0.01,0.98,1.11,-1.03,-0.18,25.49,29.9,-29.99,0
90895,0.05,0.01,0.98,0.51,-1.28,-0.14,25.49,29.9,-29.99,0
90905,0.05,0.01,0.98,0.16,-1.28,-0.22,25.49,29.9,-29.99,0
90915,0.05,0.01,0.98,0.2,-1.12,-0.26,25.49,29.9,-29.99,0
90927,0.05,0.02,0.98,0.82,-0.91,-0.43,25.56,29.88,-30.08,0
90937,0.05,0.02,0.98,0.91,-0.87,-0.5,25.56,29.88,-30.08,0
90947,0.05,0.02,0.98,0.74,-0.95,-0.51,25.56,29.88,-30.08,0
90957,0.05,0.02,0.98,0.45,-1.14,-0.49,25.56,29.88,-30.08,0
90970,0.06,0.02,0.98,0.22,-1.21,-0.38,25.56,29.88,-30.08,0
90981,0.06,0.02,0.98,0.5,-1.03,-0.38,25.59,29.87,-30.01,0
90994,0.06,0.02,0.98,1.17,-0.83,-0.27,25.59,29.87,-30.01,0
91005,0.05,0.02,0.98,1.22,-0.91,-0.13,25.59,29.87,-30.01,0
91016,0.05,0.02,0.98,1.03,-0.99,-0.07,25.59,29.87,-30.01,0
91029,0.05,0.02,0.98,0.49,-0.92,-0.16,25.47,29.88,-29.96,0
91040,0.06,0.02,0.98,0.29,-0.81,-0.17,25.47,29.88,-29.96,0
91050,0.06,0.02,0.98,0.25,-0.69,-0.2,25.47,29.88,-29.96,0
91061,0.06,0.02,0.98,0.22,-0.72,-0.22,25.47,29.88,-29.96,0
91073,0.05,0.02,0.97,-0.13,-1.22,-0.34,25.47,29.88,-29.96,0
91085,0.05,0.02,0.97,-0.12,-1.44,-0.3,25.44,29.87,-29.91,0
